# Photo Luminescence extracted from diagram
# Additional information from diagram:
# Peak = 792.000 nm
# FWHM = 33.90489 meV
# 1/2uFWHM = 9.82093 meV
# uFWHM (calc) = 19.64187 meV
############################################
Wavelength (nm)	PL Intensity (a.u.)
762.00	23.236
763.00	23.777
764.00	23.912
765.00	24.183
766.00	24.860
767.00	25.536
768.00	26.484
769.00	27.837
770.00	29.055
771.00	31.762
772.00	35.010
773.00	34.062
774.00	35.822
775.00	38.258
776.00	41.370
777.00	44.212
778.00	48.002
779.00	52.739
780.00	57.205
781.00	60.994
782.00	64.783
783.00	67.219
784.00	68.302
785.00	69.385
786.00	74.527
787.00	76.287
788.00	82.512
789.00	89.685
790.00	99.970
791.00	108.77
792.00	112.69
793.00	108.63
794.00	97.940
795.00	82.377
796.00	66.001
797.00	50.438
798.00	40.152
799.00	32.709
800.00	26.078
801.00	22.018
802.00	19.175
803.00	17.551
804.00	15.115
805.00	13.491
806.00	12.138
807.00	11.597
808.00	10.785
809.00	10.243
810.00	10.243
811.00	9.4314
812.00	9.4314
813.00	8.8900
814.00	8.8900
815.00	8.8900
816.00	8.6194
817.00	8.3487
